key,value,version,sheet
Buff_PainResistShort_Desc,Bỏ\ qua\ đau\ đớn\ trong\ 60\ giây,#20250919105708,Buffs
Buff_PainResistMiddle,Bình Tĩnh,#20250206103400,Buffs
Buff_PainResistLong,Bình Tĩnh,#20250206103400,Buffs
Buff_PainResistLong_Desc,Bỏ\ qua\ đau\ đớn\ trong\ 300\ giây,#20250919105708,Buffs
Buff_PainResistMiddle_Desc,Bỏ\ qua\ đau\ đớn\ trong\ 180\ giây,#20250919105708,Buffs
Buff_ElecResistShort,Kháng Điện,#20250812031926,Buffs
Buff_ElecResistShort_Desc,Giảm\ sát\ thương\ điện\ nhận\ vào,#20250919105708,Buffs
Buff_HotBlood,Nhiệt Huyết,#20250812031926,Buffs
Buff_PoisonS_Desc,Nhận\ sát\ thương\ liên\ tục\ và\ giảm\ tốc\ độ\ hồi\ phục,#20250919105708,Buffs
Buff_Happy,Vui Vẻ,#20250206103400,Buffs
Buff_Happy_Desc,Hôm\ nay\ tôi\ thật\ sự\ rất\ vui,#20250919105708,Buffs
Buff_Base,Cơ Bản,#20250812031926,Buffs
Building_Merchant_Equipment,Cửa Hàng Giáp,#20250206103400,Buildings
Building_Merchant_Equipment_Desc,Bán nhiều loại giáp.,#20250812031926,Buildings
Building_Merchant_Normal,Tạp Hóa,#20250812031926,Buildings
Building_Merchant_Normal_Desc,"Có thể mua thuốc men, hàng hóa hoặc bán đồ để lấy tiền.",#20250812031926,Buildings
Building_Merchant_Weapon,Cửa Hàng Vũ Khí,#20250206103400,Buildings
Building_Merchant_Weapon_Desc,"Bán\ súng,\ đạn\ và\ mọi\ thứ\ phục\ vụ\ cho\ việc\ tiêu\ diệt\ và\ cướp\ bóc.",#20250919105708,Buildings
Building_PrototypeMachine,Máy Nâng Cấp Nguyên Mẫu,#20250206103400,Buildings
Building_PrototypeMachine_Desc,Nâng cấp kỹ năng để cải thiện khả năng sống sót.,#20250812031926,Buildings
Building_Workbench,Bàn Chế Tạo Cơ Bản,#20250812031926,Buildings
Building_Workbench_Desc,Có\ thể\ chế\ tạo\ các\ vật\ phẩm\ cơ\ bản\ tại\ đây.,#20250919105708,Buildings
Building_WorkbenchAdvance,Bàn Chế Tạo,#20250812031926,Buildings
Building_WorkbenchAdvance_Desc,"Có\ thể\ chế\ tạo,\ tháo\ rời\ hoặc\ sửa\ chữa\ vật\ phẩm\ cũng\ như\ đăng\ ký\ bản\ thiết\ kế.",#20250919105708,Buildings
Building_MasterKey,Thiết Bị Đăng Ký Chìa,#20250812031926,Buildings
Building_MasterKey_Desc,Đăng\ ký\ chìa\ khóa\ tại\ đây\ để\ mở\ cửa\ sau\ này.,#20250919105708,Buildings
Building_Bathroom,Phòng Vệ Sinh,#20250812031926,Buildings
Building_Bathroom_Desc,Cung cấp nước sạch — ít ra cũng không phải nước bùn.,#20250812031926,Buildings
Building_FoodTable,Bàn Ăn,#20250206103400,Buildings
Building_FoodTable_Desc,Có thể ăn uống tại đây.,#20250812031926,Buildings
Building_QuestGiver,Bảng Nhiệm Vụ,#20250812031926,Buildings
Building_QuestGiver_Desc,"Trở thành lính đánh thuê, hoàn thành nhiệm vụ và nhận thưởng.",#20250812031926,Buildings
MerchantName_Merchant_Equipment,Thương Nhân Giáp,#20250206103400,Buildings
MerchantName_Merchant_Weapon,Thương Nhân Vũ Khí,#20250206103400,Buildings
MerchantName_Merchant_Normal,Máy Bán Hàng Tự Động,#20250206103400,Buildings
Character_Jeff,Jeff,#20250206103400,Characters
Character_Orange,Orange,#20250206103400,Characters
Character_Xavier,Xavier,#20250206103400,Characters
Character_Bob,Bob,#20250206103400,Characters
Character_Mud,Mud,#20250206103400,Characters
Character_Heart7,Heart 7,#20250206103400,Characters
Cname_Wolf,Sói,#20250206103400,Characters
Cname_ShortEagle,Pato Chapo,#20250206103400,Characters
Cname_UltraMan,Người Ánh Sáng,#20250812031926,Characters
Cname_CrazyRob,Nhện Máy Lạc Trí,#20250206103400,Characters
Cname_Scav,Kẻ Cướp,#20250206103400,Characters
Cname_Usec,Lính Đánh Thuê,#20250206103400,Characters
Cname_RobSpider,Nhện Máy,#20250206103400,Characters
Cname_ScavRage,Kẻ Cướp Cuồng Nộ,#20250812031926,Characters
Cname_Boss_Sniper,Lordon,#20250206103400,Characters
Cname_SpeedyChild,Thành Viên Nhóm Speedy,#20250206103400,Characters
Cname_Speedy,Chỉ Huy Nhóm Speedy,#20250206103400,Characters
Character_DemoTrophy,Cúp\ Kỷ\ Niệm,#20250925103331,Characters
language_name,Tiếng Việt,#20250206103400,Default
QuestGiver_Jeff,Jeff,#20250206103400,Default
Mirror,Giấc Mơ,#20250206103400,Default
UI_CustomFace_Main_Title,Đầu,#20250206103400,Default
UI_CustomFace_Eyes_Title,Mắt,#20250206103400,Default
UI_CustomFace_Hair_Title,Mào,#20250919105708,Default
UI_CustomFace_Mouth_Title,Mỏ,#20250206103400,Default
UI_CustomFace_Tail_Title,Đuôi,#20250206103400,Default
UI_CustomFace_EyesBrown_Title,Lông Mày,#20250812031926,Default
UI_CustomFace_SkinColor,Màu\ Lông,#20250919105708,Default
UI_CustomFace_HeadSize,Kích Thước Đầu,#20250206103400,Default
UI_CustomFace_HeadHeight,Chiều Cao Đầu,#20250206103400,Default
UI_CustomFace_HeadRoundness,Hình Dáng Đầu,#20250812031926,Default
UI_CustomFace_HairType,Kiểu\ Mào,#20250919105708,Default
UI_CustomFace_HairColor,Màu\ Mào,#20250919105708,Default
UI_CustomFace_EyeType,Kiểu Mắt,#20250812031926,Default
UI_CustomFace_EyeColor,Màu Mắt,#20250812031926,Default
UI_CustomFace_EyeSpace,Khoảng Cách Mắt,#20250812031926,Default
UI_CustomFace_EyeHeight,Độ Cao Mắt,#20250812031926,Default
UI_CustomFace_EyeSize,Kích Thước Mắt,#20250812031926,Default
UI_CustomFace_EyeRotate,Góc Nghiêng Mắt,#20250812031926,Default
UI_CustomFace_EyebrowType,Kiểu Lông Mày,#20250812031926,Default
UI_CustomFace_EyebrowColor,Màu Lông Mày,#20250812031926,Default
UI_CustomFace_EyebrowSpace,Khoảng Cách Lông Mày,#20250812031926,Default
UI_CustomFace_EyebrowHeight,Chiều Cao Lông Mày,#20250812031926,Default
UI_CustomFace_EyebrowSize,Kích Thước Lông Mày,#20250812031926,Default
UI_CustomFace_EyebrowRotate,Góc Nghiêng Lông Mày,#20250812031926,Default
UI_CustomFace_MouthType,Kiểu Mỏ,#20250206103400,Default
UI_CustomFace_MouthColor,Màu Mỏ,#20250206103400,Default
UI_CustomFace_MouthSize,Kích Thước Mỏ,#20250206103400,Default
UI_CustomFace_MouthHeight,Chiều Cao Mỏ,#20250206103400,Default
UI_CustomFace_MouthOffset,Vị Trí Mỏ,#20250206103400,Default
UI_CustomFace_MouthRotate,Góc Nghiêng Mỏ,#20250206103400,Default
UI_CustomFace_TailType,Kiểu Đuôi,#20250206103400,Default
UI_CustomFace_TailColor,Màu Đuôi,#20250206103400,Default
UI_CustomFace_TailSize,Kích Thước Đuôi,#20250206103400,Default
Notify_Stucked,Không\ thể\ mở\ từ\ phía\ này.,#20250812031926,Default
Notify_Removed,Vật\ cản\ đã\ được\ gỡ\ bỏ.,#20250812031926,Default
Building_MedicStation_Desc,Có\ thể\ chế\ tạo\ một\ số\ loại\ vật\ tư\ y\ tế\ tại\ đây.,#20250919105708,Default
Building_MedicStation,Trạm Y Tế,#20250206103400,Default
UI_LootBox_Totem,Nhận Thưởng,#20250812031926,Default
Location_GroundZero_CaveEntry,Lối Vào Hang,#20250206103400,Default
Level_Unfinished,Chưa Mở Khóa,#20250812031926,Default
Building_Gem,Phòng Tập,#20250206103400,Default
Building_Gem_Desc,Nơi rèn luyện thân thể và tinh thần... thật hả?,#20250812031926,Default
UI_LootBox_Explor,Hộp Dữ Liệu,#20250812031926,Default
UI_Sort,Sắp Xếp,#20250206103400,Default
Building_TeleportMachine,Máy Dịch Chuyển,#20250206103400,Default
Building_TeleportMachine_Desc,Cho phép bạn khởi hành từ nhiều địa điểm hơn.,#20250812031926,Default
Location_NorthMountain,Núi Phía Bắc,#20250812031926,Default
Location_GroundZero_RoadCap,Trại Ven Đường,#20250206103400,Default
Notification_ManHoleBlocked,Nắp cống có vẻ bị kẹt.,#20250812031926,Default
UI_Interact_Tomb,Vật Phẩm Mất,#20250812031926,Default
MapElement_Exit,Điểm Rút Quân,#20250812031926,Default
Notify_SpiderSpawn,Trời sắp tối rồi. Bọn nhện bắt đầu ra săn.,#20250812031926,Default
Building_MiningMachine,Máy Đào Bitcoin,#20250206103400,Default
Building_MiningMachine_Desc,"Đào\ vàng,\ nếu\ bạn\ hiểu\ ý\ tôi.",#20250919105708,Default
Buff_InjectorMaxWeight,Tăng Sức Mang Vác,#20250812031926,Default
BitcoinMiner_Inventory,Đầu\ Ra\ \(Không\ bỏ\ đồ\ tại\ đây\),#20250919105708,Default
Usage_HealValue,Hồi HP,#20250812031926,Default
Usage_Durability,Chi\ Phí\ Độ\ Bền,#20250919105708,Default
Usage_Energy,Năng Lượng,#20250206103400,Default
Usage_Water,Cấp Nước,#20250812031926,Default
Location_GroundZero_MiddleMountain,Đồi\ Nhỏ,#20250919105708,Default
Usage_SpawnEgg_Jinitaimei,???,#20250812031926,Default
Usage_DeadByChance,Nguy cơ tử vong tức thì.,#20250812031926,Default
Usage_DeadByChance_PopText,Hử?,#20250812031926,Default
Rule_ExtraHard,Cực Hạn,#20250812031926,Default
Rule_ExtraEasy,Dễ Dàng,#20250812031926,Default
DifficultySelection_Desc_PlaceHolder,Vui lòng chọn độ khó.,#20250812031926,Default
Tips_0,"Nếu bị chảy máu, hãy dùng băng gạc để cầm lại.",#20250812031926,Default
Tips_1,Những món vật tư thông thường có lẽ nên bán đi.,#20250812031926,Default
Tips_2,"Khi độ bền của súng giảm dưới 50%, sát thương và độ lệch đều bị ảnh hưởng.",#20250812031926,Default
Tips_3,"Bị tấn công gây đau đớn, mất thể lực và làm chậm di chuyển trong chốc lát. Thuốc giảm đau có thể vô hiệu hóa hiệu ứng này.",#20250812031926,Default
Tips_4,"Khi cầm súng, nhấn T để đổi loại đạn.",#20250812031926,Default
Tips_5,"Trong giao diện Ba lô, kéo phụ kiện vào vũ khí để gắn nhanh — miễn là tương thích.",#20250812031926,Default
Tips_6,"Khi kẻ địch cận chiến phát sáng màu đỏ, đó là tín hiệu để bạn lăn tránh.",#20250812031926,Default
Tips_7,Tốc độ di chuyển giảm khi đang cầm vũ khí.,#20250812031926,Default
Rule_ExtraEasy_Desc,Dành\ cho\ người\ thích\ nhặt\ đồ\ hơn\ là\ chiến\ đấu\.\nKẻ\ địch\ gây\ 40%\ sát\ thương.\nKẻ\ địch\ có\ 40%\ HP.\nĐộ\ giật\ cực\ thấp.\nKẻ\ địch\ phản\ ứng\ rất\ chậm.\n,#20251011093920,Default
Location_HiddenWarehouse_Warehouse,Nhà Máy Phía Tây,#20250812031926,Default
Location_HiddenWarehouse_RoadEntry,Trại Ven Đường Đông,#20250206103400,Default
Cellar,Hầm Rượu,#20250206103400,Default
Buff_InjectorMaxWeight_Desc,Tăng\ giới\ hạn\ sức\ mang\ vác,#20250919105708,Default
Location_HiddenWarehouse_Center,Trang Trại,#20250206103400,Default
Building_BlackMarket,Điểm Liên Lạc Chợ Đen,#20250812031926,Default
Building_BlackMarket_Desc,"Kết nối mạng lưới chợ đen, cho phép giao dịch với giá biến động.",#20250812031926,Default
Location_HiddenWarehouse_Valley,Hẻm Núi,#20250812031926,Default
Building_DemoTrophy,Cúp\ Kỷ\ Niệm,#20250925103331,Default
Building_DemoTrophy_Desc,Kỷ\ Vật\ Hoàn\ Thành,#20250925103331,Default
Endowmment_None,Vịt Trung Bình,#20250206103400,Default
Endowmment_None_Desc,"Cân bằng mọi mặt, không có đặc điểm nổi bật.",#20250812031926,Default
Endowmment_Surviver,Người Sống Sót,#20250812031926,Default
Endowmment_Surviver_Desc,"Thân thể dẻo dai, khó gục nhưng không nhanh nhẹn lắm — cả trong đầu.",#20250812031926,Default
Endowmment_Porter,Người Khuân Vác,#20250206103400,Default
Endowmment_Porter_Desc,Trông yếu nhưng mang đồ như dân chuyên.,#20250812031926,Default
Endowmment_Berserker,Cuồng Chiến,#20250206103400,Default
Endowmment_Berserker_Desc,Cận chiến là tất cả. Súng à? Chưa từng đụng bao giờ.,#20250812031926,Default
Endowmment_Marksman,Xạ Thủ,#20250206103400,Default
Endowmment_Marksman_Desc,"Thích bắn, nhất là từ xa.",#20250812031926,Default
HBAOSettings_Off,Tắt,#20250206103400,Default
HBAOSettings_Low,Thấp,#20250206103400,Default
HBAOSettings_Normal,Trung Bình,#20250206103400,Default
HBAOSettings_High,Cao,#20250206103400,Default
GrassOptions_Off,Tắt,#20250206103400,Default
GrassOptions_Low,Thấp,#20250206103400,Default
GrassOptions_Normal,Trung Bình,#20250206103400,Default
GrassOptions_High,Cao,#20250206103400,Default
GrassOptions_On,Bật,#20250206103400,Default
Rule_ExtraHard_Desc,Muốn\ thử\ thách\ giới\ hạn\ chứ\?\nKẻ\ địch\ gây\ 150%\ sát\ thương.\nĐồ\ rơi\ sẽ\ mất\ vĩnh\ viễn\.,#20251011093920,Default
Notification_RedBag,Nhận được:,#20250812031926,Default
RunInputMode_Hold,Giữ,#20250206103400,Default
RunInputMode_Switch,Chuyển,#20250206103400,Default
Quest_55,Bảo Trì Nguồn Điện,#20250812031927,Default
Test,Bản Kiểm Thử,#20250812031926,Default
Base_Intro_0,Này! Cuối cùng cũng tỉnh rồi!,#20250812031926,Dialogues
Base_Intro_1,"Vì cậu mới tới, tôi cần giải thích vài thứ trước.",#20250812031926,Dialogues
Base_Intro_2,"Tôi chỉ lo hậu cần, còn ngoài kia là việc của cậu.",#20250812031926,Dialogues
Base_Intro_3,Đây\ là\ Kho\ Chứa.\ Cậu\ có\ thể\ cất\ đồ\ tại\ đây.,#20250919105708,Dialogues
Base_Intro_4,Đây là Bảng Xây Dựng. Có thể xây hoặc tháo dỡ công trình từ đây.,#20250812031926,Dialogues
Base_Intro_5,"Đây là Máy Bán Hàng Tự Động. Hàng hóa không nhiều, nhưng có thể bán đồ không cần thiết.",#20250812031926,Dialogues
Base_Intro_6,Đây là Cửa Hầm. Cậu sẽ xuất phát từ đây.,#20250812031926,Dialogues
Base_Intro_7,"Giờ ta chẳng có gì, nên mang về càng nhiều càng tốt.",#20250812031926,Dialogues
Base_Intro_8,"Trước khi ra ngoài, đừng quên — tôi có vài nhiệm vụ cho cậu.",#20250812031926,Dialogues
Dialogue_Quest_8_Build1_0,"Cơn Đói, trong Tar...",#20250812031926,Dialogues
Dialogue_Quest_8_Build1_1,"Ở Duckov, đói là mối đe dọa thực sự.",#20250812031926,Dialogues
Dialogue_Quest_8_Build1_2,Hãy chú ý chỉ số Năng Lượng và Cấp Nước.,#20250812031926,Dialogues
Dialogue_Quest_8_Build1_3,Tìm gì đó để ăn đi. Tôi cũng đói rồi đấy.,#20250812031926,Dialogues
Prologue_CustomFace_0,Xin chào!,#20250206103400,Dialogues
Prologue_CustomFace_1,Đây là Giấc Mơ của cậu!,#20250812031926,Dialogues
Prologue_CustomFace_2,Cậu còn nhớ mình trông thế nào không?,#20250812031926,Dialogues
Prologue_CustomFace_3,Lại đây nào!,#20250812031926,Dialogues
Prologue_AirWall_0,Đừng đi lang thang! Giấc mơ này đầy tường vô hình đấy!,#20250812031926,Dialogues
Prologue_AirWall_1,Cẩn thận với tường vô hình!,#20250812031926,Dialogues
Prologue_Dream_Door_0,Cái quái gì vậy...,#20250812031926,Dialogues
Prologue_Dream_Door_1,Được rồi! Giờ thì tỉnh dậy đi nào.,#20250812031926,Dialogues
Prologue_Dream_Door_2,Tỉnh dậy đi!,#20250812031926,Dialogues
Dialogue_bunkerDoor_Welcome,Chào mừng trở lại.,#20250812031926,Dialogues
Dialogue_bunkerDoor_Leave,Đừng cố quá sức nhé.,#20250206103400,Dialogues
Base_Intro_9,Cái này... cứ gọi là Máy Cường Hóa đi.,#20250812031926,Dialogues
Base_Intro_10,"Tìm vật liệu phù hợp, nó sẽ cường hóa khả năng cho cậu.",#20250812031926,Dialogues
Base_Intro_11,Dù... có thể phải trả một cái giá nhỏ.,#20250812031926,Dialogues
GroundZero_Intro_0,Này! Đợi đã!,#20250812031926,Dialogues
GroundZero_Intro_1,Có địch phía trước! Vũ khí cận chiến hiệu quả nhất với bọn vịt đỏ — dễ hơn nếu biết né.,#20250812031926,Dialogues
GroundZero_Intro_2,Muốn quay lại thì có thể rút về Hầm từ đây.,#20250812031926,Dialogues
GroundZero_Intro_3,"Nếu ở xa hơn, tìm cột khói xanh — nó sẽ đưa cậu về.",#20250812031926,Dialogues
GroundZero_Intro_4,"Đây, cầm lấy cây gậy gỗ này để phòng thân. Dù sao có còn hơn không.",#20250812031926,Dialogues
GroundZero_Intro_5,"Được rồi, đi đi!",#20250812031926,Dialogues
CutScene_MudFirstMeet_0,Ai đó?,#20250812031926,Dialogues
CutScene_MudFirstMeet_1,Hmm...,#20250812031926,Dialogues
CutScene_MudFirstMeet_2,Tôi thấy tiềm năng lớn trong cậu. Muốn học Rèn Luyện Thân Thể từ ta không?,#20250812031926,Dialogues
CutScene_MudFirstMeet_3,Rèn Luyện Thân Thể giúp cậu mạnh mẽ và thông minh hơn!,#20250812031926,Dialogues
CutScene_MudFirstMeet_4,Đến đây! Sư phụ có thử thách đầu tiên cho cậu!,#20250812031926,Dialogues
Dialogue_Quest_36_Health1_0,"Rèn luyện thân thể, nghe tên là biết, tất cả là về dinh dưỡng!",#20250812031926,Dialogues
Dialogue_Quest_36_Health1_2,Vừa tìm kiếm vừa squat đi! Mau!,#20250812031926,Dialogues
Dialogue_Quest_36_Health1_3,"Nhớ nhé, kỷ luật giúp cậu tự do!",#20250812031926,Dialogues
Dialogue_Quest_36_Health2_0,E hèm...,#20250812031926,Dialogues
Dialogue_Quest_36_Health2_1,Vậy là... chỉ ăn đạm thôi thì chưa đủ...,#20250812031926,Dialogues
Dialogue_Quest_36_Health2_2,Cần tinh bột nữa!,#20250812031926,Dialogues
Dialogue_Quest_36_Health2_3,Mau!\ Mang\ cho\ ta\ cái\ bánh\ quy!,#20250925103331,Dialogues
Dialogue_Quest_36_Health2_4,Chạy đi!,#20250206103400,Dialogues
Dialogue_Quest_38_Health3_0,Làm tốt lắm!,#20250812031926,Dialogues
Dialogue_Quest_38_Health3_1,Nhưng... vẫn thiếu gì đó.,#20250812031926,Dialogues
Dialogue_Quest_38_Health3_2,"Người ta bảo, hút thuốc sau bữa ăn... *khụ*...",#20250812031926,Dialogues
Dialogue_Quest_38_Health3_3,Mang cho ta một gói thuốc! Đây là thử thách cuối cùng!,#20250812031926,Dialogues
Dialogue_Quest_39_BuildGem_0,Làm tốt lắm. Cậu đã vượt qua thử thách của ta một cách xuất sắc.,#20250812031926,Dialogues
Dialogue_Quest_39_BuildGem_1,Ta quyết định rồi. Ta sẽ chuyển đến sống cùng cậu.,#20250812031926,Dialogues
Dialogue_Quest_39_BuildGem_2,"Xây một phòng tập tại căn cứ của cậu, ta sẽ dọn đến.",#20250812031926,Dialogues
Base_Intro_Heart7_0,Sai một bước... là ân hận cả đời.,#20250812031926,Dialogues
Base_Intro_Heart7_1,Mất hết đồ à?,#20250812031926,Dialogues
Base_Intro_Heart7_2,"Thật ra, lần sau cậu có thể tự đi lấy lại.",#20250812031926,Dialogues
Base_Intro_Heart7_3,Nhưng đồng hồ vẫn đang chạy đấy...,#20250812031926,Dialogues
Dialogue_Roadsign_Dash,Con chim khốn đó đang lao tới. Nhấn Space nếu không muốn gãy cổ.,#20250812031926,Dialogues
Dialogue_Niganma,Làm gì thế~ hi yo~,#20250812031926,Dialogues
FirstFarm_0,Cậu thật sự đến rồi!,#20250812031926,Dialogues
FirstFarm_4,Dù sao cũng cảm ơn đã chơi!,#20250812031926,Dialogues
quak_Alert,!,#20250812031926,Dialogues
Quak_Suspicion,?,#20250206103400,Dialogues
Dialogue_Quest_36_Health1_1,Nhiệm\ vụ\ đầu\ tiên:\ mang\ cho\ ta\ một\ quả\ trứng\ vịt!,#20250925103331,Dialogues
FirstFarm_1,Bản đồ này vẫn đang xây dựng! Tốt nhất nên ở lại Ground Zero.,#20250812031926,Dialogues
FirstFarm_2,Thị trấn Nông Trại đầy lỗi. Cậu có thể bị kẹt và không di chuyển được.,#20250812031926,Dialogues
FirstFarm_3,"Nếu vẫn muốn chơi, hãy khởi động lại game khi bị kẹt.",#20250812031926,Dialogues
Dialogue_SpawnEgg,Ugh,#20250812031926,Dialogues
Dialogue_Kun_OnlyCloth,Trông giống hắn không có nghĩa cậu là hắn.,#20250812031926,Dialogues
Dialogue_Kun_AllRight,Anh Gà! Là anh sao?,#20250812031926,Dialogues
PopText_Reloading,Đang nạp đạn!,#20250206103400,Dialogues
Dialogue_Kun_NotRight,Vậy là cậu không phải người trong giấc mơ của ta rồi.,#20250812031926,Dialogues
Dialogue_Kun_OnlyFace,"Trông hơi giống hắn thật, nhưng vẫn không phải người trong giấc mơ của ta.",#20250812031926,Dialogues
UI_Interact,Tương Tác,#20250206103400,Interact
UI_Interact_Modify,Chỉnh Sửa,#20250812031926,Interact
UI_Interact_Repair,Sửa Chữa,#20250206103400,Interact
UI_Interact_OpenStorage,Mở Kho,#20250812031926,Interact
UI_Interact_Expansion,Mở Rộng,#20250812031926,Interact
UI_Interact_Quest,Nhiệm Vụ,#20250206103400,Interact
UI_Interact_Develope,Nghiên Cứu Công Nghệ,#20250206103400,Interact
UI_Interact_BPDevelope,Nghiên Cứu Bản Thiết Kế,#20250206103400,Interact
UI_Interact_Download,Tải Dữ Liệu,#20250206103400,Interact
UI_Interact_CheckPower,Kiểm Tra Nguồn Điện,#20250812031926,Interact
UI_Interact_Go,Khởi Hành,#20250206103400,Interact
UI_Interact_ExitBunker,Rời Hầm,#20250812031926,Interact
UI_Interact_EnterBunker,Vào Hầm,#20250812031926,Interact
UI_Interact_Build,Xây Dựng,#20250206103400,Interact
UI_Interact_Fix,Sửa,#20250812031926,Interact
UI_WeakUp,Thức Dậy,#20250812031926,Interact
UI_Interact_RememberFace,Ta Trông Như Thế Nào?,#20250812031926,Interact
UI_GoToBed,Tùy Chỉnh Ngoại Hình,#20250812031926,Interact
UI_Interact_Remove,Gỡ Bỏ,#20250206103400,Interact
UI_Interact_Handover,Giao Nộp,#20250812031926,Interact
UI_Interact_Cloth,Quần Áo,#20250812031926,Interact
UI_Interact_Sacrifice,Hiến Tế,#20250812031926,Interact
UI_Interact_TeleportMachine,Trạm Dịch Chuyển,#20250812031926,Interact
UI_Interact_FixTeleportMachine,Sửa Máy Dịch Chuyển,#20250812031926,Interact
UI_Interact_Open,Mở,#20250206103400,Interact
UI_Interact_Skill,Cường Hóa Kỹ Năng,#20250812031926,Interact
UI_Interact_DeathLottery,Xổ Số Tử Thần,#20250206103400,Interact
UI_Interact_PhysicalTraining,Rèn Luyện Thể Chất,#20250206103400,Interact
UI_Interact_Read,Đọc,#20250206103400,Interact
UI_LootBox_Open,Mở,#20250206103400,Interact
UI_LootBox_CarDoor,Cửa Xe,#20250206103400,Interact
UI_Interact_UnlockFormula,Đăng Ký Công Thức,#20250905113817,Interact
UI_Interact_GoDown,Đi\ Xuống,#20250919105708,Interact
UI_Interact_GoUp,Đi\ Lên,#20250919105708,Interact
UI_Interact_UnlockBlueprint,Nghiên Cứu Bản Thiết Kế,#20250206103400,Interact
UI_Interact_MiningMachine,Máy Đào,#20250812031926,Interact
UI_Interact_BlackMarketDemands,Xem Yêu Cầu Giao Dịch,#20250812031926,Interact
UI_Interact_BlackMarketSupply,Nguồn Cung Chợ Đen,#20250812031926,Interact
UI_Interact_Sample,Thu Thập Mẫu,#20250812031926,Interact
UI_Interact_Hide,Đặt,#20250206103400,Interact
UI_Interact_WishList,Thêm vào Danh Sách Mong Muốn,#20250812031926,Interact
UI_Interact_Move,Di Chuyển,#20250206103400,Interact
Item_Character,Thân Thể,#20250812031926,Items
Item_Character_Desc,Vật\ chứa\ linh\ hồn.,#20251009091248,Items
Item_0_MeleeWeapon_Template,Dao Làm Thịt,#20250206103400,Items
Item_0_MeleeWeapon_Template_Desc,Con\ dao\ thô\ ráp.\ Không\ thật\ sự\ sắc.,#20250919105708,Items
Item_ArmorLV3,Áo Giáp Cấp 3,#20250812031926,Items
Item_ArmorLV3_Desc,Một áo giáp cấp 3 có thể cứu mạng khi cần nhất.,#20250812031926,Items
Item_Gem,Ngôi Sao Vàng,#20250206103400,Items
Item_1_Rifle-A_template,Khuôn Súng Mẫu,#20250206103400,Items
Item_1_Rifle-A_template_Desc,\?,#20251011093920,Items
Item_S_MMG_Lv_1,Súng Máy Phế Liệu,#20250812031926,Items
Item_S_MMG_Lv_1_Desc,Súng tiểu liên thường.,#20250812031926,Items
Item_BatteryR6,Pin R6,#20250206103400,Items
Item_BatteryR6_Desc,Loại pin được dùng phổ biến trong nhiều thiết bị điện.,#20250812031926,Items
Item_Shot_Hand_Lv_1,Súng Săn Tự Chế,#20250812031926,Items
Item_Shot_Hand_Lv_1_Desc,Một khẩu shotgun tự chế với độ ổn định kém.,#20250206103400,Items
Item_Bandage,Băng Gạc,#20250206103400,Items
Item_Bandage_Desc,Cầm máu và hồi một lượng HP nhỏ.,#20250812031926,Items
Item_BatteryPP3,Pin PP3,#20250206103400,Items
Item_BatteryPP3_Desc,"Thường dùng cho máy báo khói, đồ chơi điều khiển từ xa và đồng hồ dự phòng.",#20250812031926,Items
Item_BeanCan,Đậu Hộp,#20250812031926,Items
